template,pair_id,Seed,I_start,I_goal,tau0,success,reason,Policy,mode,tau_used,tau_gap,tau_star,tau_request,PolicyTemplate
noisy_corridor,5,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,6,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,7,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,8,0,0.36,0.0,0.8,1,ok,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,9,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,10,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,11,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,12,0,0.8723214285714286,0.8400000000000001,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,13,0,0.0,0.0,0.8,0,no path under irreversibility constraint,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,14,0,0.8996323529411765,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,15,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,16,0,0.90859375,0.54,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,17,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,18,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,19,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,20,0,0.85,0.8400000000000001,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,21,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,22,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,23,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,24,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,25,0,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,26,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
