thr,FPR,TPR,TP,FP,TN,FN
1.066390417250527856e+00,5.379166666666667096e-01,6.125490196078431371e-01,3.124000000000000000e+03,1.291000000000000000e+03,1.109000000000000000e+03,1.976000000000000000e+03
1.073484094945924117e+00,5.324999999999999734e-01,6.101960784313725794e-01,3.112000000000000000e+03,1.278000000000000000e+03,1.122000000000000000e+03,1.988000000000000000e+03
1.086514825404545359e+00,5.274999999999999689e-01,6.074509803921568363e-01,3.098000000000000000e+03,1.266000000000000000e+03,1.134000000000000000e+03,2.002000000000000000e+03
1.095233185827089617e+00,5.237500000000000488e-01,6.043137254901961297e-01,3.082000000000000000e+03,1.257000000000000000e+03,1.143000000000000000e+03,2.018000000000000000e+03
1.105651247284719307e+00,5.195833333333332860e-01,6.013725490196077939e-01,3.067000000000000000e+03,1.247000000000000000e+03,1.153000000000000000e+03,2.033000000000000000e+03
1.118704164661718625e+00,5.150000000000000133e-01,5.986274509803921617e-01,3.053000000000000000e+03,1.236000000000000000e+03,1.164000000000000000e+03,2.047000000000000000e+03
1.125076013499575645e+00,5.116666666666667140e-01,5.952941176470588625e-01,3.036000000000000000e+03,1.228000000000000000e+03,1.172000000000000000e+03,2.064000000000000000e+03
1.137493043577048724e+00,5.074999999999999512e-01,5.923529411764706376e-01,3.021000000000000000e+03,1.218000000000000000e+03,1.182000000000000000e+03,2.079000000000000000e+03
1.148661711440867705e+00,5.029166666666666785e-01,5.896078431372548945e-01,3.007000000000000000e+03,1.207000000000000000e+03,1.193000000000000000e+03,2.093000000000000000e+03
1.158840288573642852e+00,4.987500000000000266e-01,5.866666666666666696e-01,2.992000000000000000e+03,1.197000000000000000e+03,1.203000000000000000e+03,2.108000000000000000e+03
1.171954940456250149e+00,4.958333333333333481e-01,5.831372549019607776e-01,2.974000000000000000e+03,1.190000000000000000e+03,1.210000000000000000e+03,2.126000000000000000e+03
1.184758669548928056e+00,4.908333333333333437e-01,5.805882352941176272e-01,2.961000000000000000e+03,1.178000000000000000e+03,1.222000000000000000e+03,2.139000000000000000e+03
1.194854733482043629e+00,4.887500000000000178e-01,5.766666666666666607e-01,2.941000000000000000e+03,1.173000000000000000e+03,1.227000000000000000e+03,2.159000000000000000e+03
