pair_id,start_y,start_x,goal_y,goal_x,I_start,I_goal,fixed_tau0,fixed_success,fixed_expansions,fixed_cost,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_expansions,safe_cost,safe_reason,mm_feasible,tau_star,tau_request,mm_iters,mm_success,mm_expansions,mm_cost
0,38,22,25,19,0.8596,0.25266666666666665,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8600000000000001,0.06000000000000005,55,16.0,relaxed tau to minimal feasible threshold,1,0.86328125,0.87328125,8,1,56,16.0
1,28,1,36,24,1.0,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,216,31.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,216,31.0
2,23,22,31,24,0.2551428571428571,0.856,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8600000000000001,0.06000000000000005,17,10.0,relaxed tau to minimal feasible threshold,1,0.859375,0.869375,8,1,21,10.0
3,34,5,9,7,1.0,0.25,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,78,27.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,78,27.0
4,2,8,12,9,1.0,0.2522105263157895,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,22,11.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,22,11.0
5,11,21,35,25,0.883,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8900000000000001,0.09000000000000008,114,28.0,relaxed tau to minimal feasible threshold,1,0.88671875,0.89671875,8,1,115,28.0
6,37,12,0,6,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,266,43.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,266,43.0
7,20,15,33,20,0.6,0.2505,0.8,0,6,inf,no path under irreversibility constraint,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,84,18.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,84,18.0
8,5,12,32,21,0.2544,0.25024,0.8,0,112,inf,no path under irreversibility constraint,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,101,36.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,101,36.0
9,4,27,19,5,0.2522105263157895,0.8662857142857142,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,305,37.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,305,37.0
10,33,14,12,13,1.0,0.8613333333333333,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,44,22.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,44,22.0
11,14,0,11,12,0.87,0.25375,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8700000000000001,0.07000000000000006,50,15.0,relaxed tau to minimal feasible threshold,1,0.87109375,0.88109375,8,1,51,15.0
