t,est_px,est_py,vo_nis,vo_trust,vo_infl,w_nis,w_trust,w_infl
6.000000000000000000e+01,6.100996490683007423e+00,3.018356358007083351e+00,1.176494185952010607e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.233659227549422699e-02,1.000000000000000000e+00,1.000000000000000000e+00
6.100000000000000000e+01,6.210731847046376153e+00,3.056926153708556804e+00,1.210732997943793521e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.630720656251348544e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.200000000000000000e+01,6.306948993732750530e+00,3.089471424319778503e+00,7.722878871646510213e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.204223491003440283e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.300000000000000000e+01,6.419273823567733572e+00,3.151695703981661101e+00,4.533633478717218335e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.760877176253586418e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.400000000000000000e+01,6.500554744170834454e+00,3.195390726214044186e+00,6.644222546305686983e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.155416125170818376e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+01,6.587260790384152465e+00,3.248325193663622379e+00,2.682329494835794526e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.685833894540799016e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.600000000000000000e+01,6.675299436514497309e+00,3.311361371759803607e+00,1.116515470217027239e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.822969313109378930e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000000e+01,6.789368904417083073e+00,3.349396724014864102e+00,7.174125199169544276e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.804321334148635714e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.800000000000000000e+01,6.925607997604795507e+00,3.411078311926440065e+00,6.471544326922042067e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.883564959214237389e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000000e+01,7.022934518628058953e+00,3.479852402959438429e+00,2.972077967114802322e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.102418104648834074e+01,9.767994832692703522e-01,1.000000000000000000e+00
7.000000000000000000e+01,7.122087945223571914e+00,3.555602690797964538e+00,4.205686447193819344e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.175006905469807794e+00,9.774954987711922394e-01,1.023751565319301005e+00
7.100000000000000000e+01,7.224839297596045817e+00,3.616078019953030687e+00,3.238888113322783702e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.917027333313506166e+00,9.781706338080564667e-01,1.023022613666352498e+00
7.200000000000000000e+01,7.335815183782540494e+00,3.670897729996457581e+00,7.390053988003376650e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.523120334777505969e+00,9.788255147938147438e-01,1.022316521716626125e+00
7.300000000000000000e+01,7.470707013822873499e+00,3.700982999435046494e+00,7.775821258426336868e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.084127623548115427e+00,9.794607493500002704e-01,1.021632543171543173e+00
7.400000000000000000e+01,7.563762650713720781e+00,3.752957975401066903e+00,2.306805957779604621e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.254382145030666251e+00,9.800769268695002090e-01,1.020969957870828670e+00
7.500000000000000000e+01,7.640173297837180577e+00,3.811715556988931830e+00,2.475633507149114454e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.545322363096856444e-01,9.806746190634152427e-01,1.020328070771073792e+00
7.600000000000000000e+01,7.741984879573908351e+00,3.832792231244463110e+00,2.182696599932369974e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.698277765134299955e+00,9.812543804915128121e-01,1.019706210970404481e+00
7.700000000000000000e+01,7.852499842343966918e+00,3.881537174351486374e+00,8.058349896778925769e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.138727250947463965e+00,9.818167490767674144e-01,1.019103730776822037e+00
7.800000000000000000e+01,7.933117976426126816e+00,3.915358688041407298e+00,1.818091716044499151e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.462672948322153221e-01,9.823622466044643620e-01,1.018520004817936586e+00
7.900000000000000000e+01,8.036531034142582186e+00,3.957885016833937897e+00,2.533988726743398034e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.965366991962838927e-01,9.828913792063304067e-01,1.017954429189945609e+00
8.000000000000000000e+01,8.132421298926221453e+00,3.989310208784262013e+00,4.673495534628129278e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.785326315296097810e-02,9.834046378301405378e-01,1.017406420643840237e+00
8.100000000000000000e+01,8.220651576902731961e+00,4.054564440435449058e+00,2.215724009868923206e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.911592597889941736e+00,9.839024986952362717e-01,1.016875415806942629e+00
8.200000000000000000e+01,8.325226423386315133e+00,4.110021008161348632e+00,6.657187506003379163e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.179603372047350218e-01,9.843854237343792057e-01,1.016360870437986286e+00
8.300000000000000000e+01,8.426641532981083316e+00,4.146332103983112027e+00,3.049157245587427845e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.044221915188110650e+01,9.688575096317625368e-01,1.015862258714056443e+00
