thr,FPR,TPR,TP,FP,TN,FN
7.671540414780858574e-01,8.429166666666666474e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.023000000000000000e+03,3.770000000000000000e+02,0.000000000000000000e+00
8.067820713334383775e-01,8.325000000000000178e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.998000000000000000e+03,4.020000000000000000e+02,0.000000000000000000e+00
8.396391865680518096e-01,8.220833333333333881e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.973000000000000000e+03,4.270000000000000000e+02,0.000000000000000000e+00
8.665794291735413601e-01,8.116666666666666474e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.948000000000000000e+03,4.520000000000000000e+02,0.000000000000000000e+00
8.908793327206049328e-01,8.012500000000000178e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.923000000000000000e+03,4.770000000000000000e+02,0.000000000000000000e+00
9.199771326671751792e-01,7.908333333333333881e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.898000000000000000e+03,5.020000000000000000e+02,0.000000000000000000e+00
9.471303265343998801e-01,7.804166666666666474e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.873000000000000000e+03,5.270000000000000000e+02,0.000000000000000000e+00
9.762230440873304049e-01,7.700000000000000178e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.848000000000000000e+03,5.520000000000000000e+02,0.000000000000000000e+00
1.009438842877807829e+00,7.595833333333333881e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.823000000000000000e+03,5.770000000000000000e+02,0.000000000000000000e+00
1.036109843260006880e+00,7.491666666666666474e-01,1.000000000000000000e+00,5.100000000000000000e+03,1.798000000000000000e+03,6.020000000000000000e+02,0.000000000000000000e+00
1.056077610816507306e+00,7.387500000000000178e-01,9.998039215686274073e-01,5.099000000000000000e+03,1.773000000000000000e+03,6.270000000000000000e+02,1.000000000000000000e+00
1.085104172874732376e+00,7.287500000000000089e-01,9.996078431372549256e-01,5.098000000000000000e+03,1.749000000000000000e+03,6.510000000000000000e+02,2.000000000000000000e+00
1.108828299426929176e+00,7.187500000000000000e-01,9.994117647058823328e-01,5.097000000000000000e+03,1.725000000000000000e+03,6.750000000000000000e+02,3.000000000000000000e+00
1.123155634825580895e+00,7.099999999999999645e-01,9.986274509803921839e-01,5.093000000000000000e+03,1.704000000000000000e+03,6.960000000000000000e+02,7.000000000000000000e+00
1.138620429444952453e+00,6.995833333333333348e-01,9.986274509803921839e-01,5.093000000000000000e+03,1.679000000000000000e+03,7.210000000000000000e+02,7.000000000000000000e+00
1.159581756376560024e+00,6.904166666666666785e-01,9.980392156862745168e-01,5.090000000000000000e+03,1.657000000000000000e+03,7.430000000000000000e+02,1.000000000000000000e+01
1.177559492624158599e+00,6.816666666666666430e-01,9.972549019607843679e-01,5.086000000000000000e+03,1.636000000000000000e+03,7.640000000000000000e+02,1.400000000000000000e+01
1.192911229394733930e+00,6.733333333333333393e-01,9.962745098039215152e-01,5.081000000000000000e+03,1.616000000000000000e+03,7.840000000000000000e+02,1.900000000000000000e+01
1.207617185974676710e+00,6.637499999999999512e-01,9.958823529411764408e-01,5.079000000000000000e+03,1.593000000000000000e+03,8.070000000000000000e+02,2.100000000000000000e+01
1.217745417444871858e+00,6.558333333333333792e-01,9.947058823529412175e-01,5.073000000000000000e+03,1.574000000000000000e+03,8.260000000000000000e+02,2.700000000000000000e+01
1.229494295849416607e+00,6.466666666666666119e-01,9.941176470588235503e-01,5.070000000000000000e+03,1.552000000000000000e+03,8.480000000000000000e+02,3.000000000000000000e+01
1.242585783465987026e+00,6.379166666666666874e-01,9.933333333333332904e-01,5.066000000000000000e+03,1.531000000000000000e+03,8.690000000000000000e+02,3.400000000000000000e+01
1.254132611910321105e+00,6.304166666666666252e-01,9.919607843137254743e-01,5.059000000000000000e+03,1.513000000000000000e+03,8.870000000000000000e+02,4.100000000000000000e+01
1.262809854217673777e+00,6.225000000000000533e-01,9.905882352941176583e-01,5.052000000000000000e+03,1.494000000000000000e+03,9.060000000000000000e+02,4.800000000000000000e+01
1.273483838627314846e+00,6.179166666666666696e-01,9.878431372549019152e-01,5.038000000000000000e+03,1.483000000000000000e+03,9.170000000000000000e+02,6.200000000000000000e+01
1.288633760933122430e+00,6.087500000000000133e-01,9.872549019607843590e-01,5.035000000000000000e+03,1.461000000000000000e+03,9.390000000000000000e+02,6.500000000000000000e+01
1.297129043389626313e+00,6.025000000000000355e-01,9.852941176470588758e-01,5.025000000000000000e+03,1.446000000000000000e+03,9.540000000000000000e+02,7.500000000000000000e+01
1.307359889101308292e+00,5.949999999999999734e-01,9.839215686274509487e-01,5.018000000000000000e+03,1.428000000000000000e+03,9.720000000000000000e+02,8.200000000000000000e+01
1.317642099793307819e+00,5.879166666666666430e-01,9.823529411764705399e-01,5.010000000000000000e+03,1.411000000000000000e+03,9.890000000000000000e+02,9.000000000000000000e+01
1.326566884316437545e+00,5.804166666666666918e-01,9.809803921568627239e-01,5.003000000000000000e+03,1.393000000000000000e+03,1.007000000000000000e+03,9.700000000000000000e+01
1.334006535513097669e+00,5.729166666666666297e-01,9.796078431372549078e-01,4.996000000000000000e+03,1.375000000000000000e+03,1.025000000000000000e+03,1.040000000000000000e+02
1.341350311467988332e+00,5.645833333333333259e-01,9.786274509803921662e-01,4.991000000000000000e+03,1.355000000000000000e+03,1.045000000000000000e+03,1.090000000000000000e+02
1.352504476297942571e+00,5.574999999999999956e-01,9.770588235294117574e-01,4.983000000000000000e+03,1.338000000000000000e+03,1.062000000000000000e+03,1.170000000000000000e+02
1.363035776311025904e+00,5.504166666666666652e-01,9.754901960784313486e-01,4.975000000000000000e+03,1.321000000000000000e+03,1.079000000000000000e+03,1.250000000000000000e+02
1.372165605792450060e+00,5.450000000000000400e-01,9.731372549019607909e-01,4.963000000000000000e+03,1.308000000000000000e+03,1.092000000000000000e+03,1.370000000000000000e+02
1.379958649858838982e+00,5.370833333333333570e-01,9.717647058823529749e-01,4.956000000000000000e+03,1.289000000000000000e+03,1.111000000000000000e+03,1.440000000000000000e+02
1.387003130099268455e+00,5.304166666666666474e-01,9.699999999999999734e-01,4.947000000000000000e+03,1.273000000000000000e+03,1.127000000000000000e+03,1.530000000000000000e+02
1.393611258466504133e+00,5.241666666666666696e-01,9.680392156862744901e-01,4.937000000000000000e+03,1.258000000000000000e+03,1.142000000000000000e+03,1.630000000000000000e+02
1.406096031998950613e+00,5.195833333333332860e-01,9.652941176470588580e-01,4.923000000000000000e+03,1.247000000000000000e+03,1.153000000000000000e+03,1.770000000000000000e+02
1.410934590828601287e+00,5.141666666666666607e-01,9.629411764705881893e-01,4.911000000000000000e+03,1.234000000000000000e+03,1.166000000000000000e+03,1.890000000000000000e+02
1.418929868689627893e+00,5.070833333333333304e-01,9.613725490196078916e-01,4.903000000000000000e+03,1.217000000000000000e+03,1.183000000000000000e+03,1.970000000000000000e+02
1.426532142114585788e+00,5.020833333333333259e-01,9.588235294117647411e-01,4.890000000000000000e+03,1.205000000000000000e+03,1.195000000000000000e+03,2.100000000000000000e+02
1.431378156488769982e+00,4.954166666666666718e-01,9.570588235294117396e-01,4.881000000000000000e+03,1.189000000000000000e+03,1.211000000000000000e+03,2.190000000000000000e+02
1.437093935305632897e+00,4.904166666666666674e-01,9.545098039215685892e-01,4.868000000000000000e+03,1.177000000000000000e+03,1.223000000000000000e+03,2.320000000000000000e+02
1.441005248883435508e+00,4.837500000000000133e-01,9.527450980392156987e-01,4.859000000000000000e+03,1.161000000000000000e+03,1.239000000000000000e+03,2.410000000000000000e+02
1.449097511859838594e+00,4.779166666666666563e-01,9.505882352941176228e-01,4.848000000000000000e+03,1.147000000000000000e+03,1.253000000000000000e+03,2.520000000000000000e+02
1.455830244904689152e+00,4.733333333333333282e-01,9.478431372549019907e-01,4.834000000000000000e+03,1.136000000000000000e+03,1.264000000000000000e+03,2.660000000000000000e+02
1.461413243219753966e+00,4.679166666666666474e-01,9.454901960784313220e-01,4.822000000000000000e+03,1.123000000000000000e+03,1.277000000000000000e+03,2.780000000000000000e+02
1.468687739584708662e+00,4.641666666666666718e-01,9.421568627450980227e-01,4.805000000000000000e+03,1.114000000000000000e+03,1.286000000000000000e+03,2.950000000000000000e+02
1.474544218287668018e+00,4.587499999999999911e-01,9.398039215686274650e-01,4.793000000000000000e+03,1.101000000000000000e+03,1.299000000000000000e+03,3.070000000000000000e+02
1.479363680594165009e+00,4.533333333333333104e-01,9.374509803921569073e-01,4.781000000000000000e+03,1.088000000000000000e+03,1.312000000000000000e+03,3.190000000000000000e+02
1.484008249516431732e+00,4.516666666666666607e-01,9.333333333333333481e-01,4.760000000000000000e+03,1.084000000000000000e+03,1.316000000000000000e+03,3.400000000000000000e+02
1.491073716394133442e+00,4.479166666666666852e-01,9.301960784313725306e-01,4.744000000000000000e+03,1.075000000000000000e+03,1.325000000000000000e+03,3.560000000000000000e+02
1.496509436973074259e+00,4.441666666666666541e-01,9.270588235294117130e-01,4.728000000000000000e+03,1.066000000000000000e+03,1.334000000000000000e+03,3.720000000000000000e+02
1.503148640744141451e+00,4.391666666666666496e-01,9.245098039215686736e-01,4.715000000000000000e+03,1.054000000000000000e+03,1.346000000000000000e+03,3.850000000000000000e+02
1.508040901520694810e+00,4.337500000000000244e-01,9.221568627450980049e-01,4.703000000000000000e+03,1.041000000000000000e+03,1.359000000000000000e+03,3.970000000000000000e+02
1.513134655653917360e+00,4.308333333333333459e-01,9.186274509803921129e-01,4.685000000000000000e+03,1.034000000000000000e+03,1.366000000000000000e+03,4.150000000000000000e+02
1.517971516152746281e+00,4.254166666666666652e-01,9.162745098039215552e-01,4.673000000000000000e+03,1.021000000000000000e+03,1.379000000000000000e+03,4.270000000000000000e+02
1.522669513407354458e+00,4.220833333333333104e-01,9.129411764705882559e-01,4.656000000000000000e+03,1.013000000000000000e+03,1.387000000000000000e+03,4.440000000000000000e+02
