thr,FPR,TPR,TP,FP,TN,FN
5.970812624188645001e-01,7.045833333333333393e-01,7.609803921568627505e-01,3.881000000000000000e+03,1.691000000000000000e+03,7.090000000000000000e+02,1.219000000000000000e+03
6.037998444652165064e-01,6.995833333333333348e-01,7.574509803921568585e-01,3.863000000000000000e+03,1.679000000000000000e+03,7.210000000000000000e+02,1.237000000000000000e+03
6.154246549754932571e-01,6.945833333333333304e-01,7.539215686274509665e-01,3.845000000000000000e+03,1.667000000000000000e+03,7.330000000000000000e+02,1.255000000000000000e+03
6.272264663826354614e-01,6.895833333333333259e-01,7.503921568627450744e-01,3.827000000000000000e+03,1.655000000000000000e+03,7.450000000000000000e+02,1.273000000000000000e+03
6.361070495612697329e-01,6.866666666666666474e-01,7.458823529411764408e-01,3.804000000000000000e+03,1.648000000000000000e+03,7.520000000000000000e+02,1.296000000000000000e+03
6.454063230521577266e-01,6.824999999999999956e-01,7.417647058823529926e-01,3.783000000000000000e+03,1.638000000000000000e+03,7.620000000000000000e+02,1.317000000000000000e+03
6.583432114017104819e-01,6.783333333333333437e-01,7.378431372549019152e-01,3.763000000000000000e+03,1.628000000000000000e+03,7.720000000000000000e+02,1.337000000000000000e+03
6.660802251505479887e-01,6.741666666666666918e-01,7.339215686274509487e-01,3.743000000000000000e+03,1.618000000000000000e+03,7.820000000000000000e+02,1.357000000000000000e+03
6.768844420776430892e-01,6.708333333333332815e-01,7.296078431372549078e-01,3.721000000000000000e+03,1.610000000000000000e+03,7.900000000000000000e+02,1.379000000000000000e+03
6.875875478574805522e-01,6.683333333333333348e-01,7.249019607843136814e-01,3.697000000000000000e+03,1.604000000000000000e+03,7.960000000000000000e+02,1.403000000000000000e+03
6.998779822224608926e-01,6.645833333333333037e-01,7.207843137254902333e-01,3.676000000000000000e+03,1.595000000000000000e+03,8.050000000000000000e+02,1.424000000000000000e+03
7.097586083853638650e-01,6.591666666666666785e-01,7.174509803921568230e-01,3.659000000000000000e+03,1.582000000000000000e+03,8.180000000000000000e+02,1.441000000000000000e+03
7.237995829136164572e-01,6.558333333333333792e-01,7.131372549019607820e-01,3.637000000000000000e+03,1.574000000000000000e+03,8.260000000000000000e+02,1.463000000000000000e+03
7.353080997111430817e-01,6.529166666666667007e-01,7.086274509803921484e-01,3.614000000000000000e+03,1.567000000000000000e+03,8.330000000000000000e+02,1.486000000000000000e+03
7.458642429499646731e-01,6.491666666666666696e-01,7.043137254901961075e-01,3.592000000000000000e+03,1.558000000000000000e+03,8.420000000000000000e+02,1.508000000000000000e+03
7.596126686307994591e-01,6.424999999999999600e-01,7.015686274509803644e-01,3.578000000000000000e+03,1.542000000000000000e+03,8.580000000000000000e+02,1.522000000000000000e+03
7.712912145592074609e-01,6.379166666666666874e-01,6.978431372549019907e-01,3.559000000000000000e+03,1.531000000000000000e+03,8.690000000000000000e+02,1.541000000000000000e+03
7.831669800068710163e-01,6.345833333333333881e-01,6.935294117647058387e-01,3.537000000000000000e+03,1.523000000000000000e+03,8.770000000000000000e+02,1.563000000000000000e+03
7.978673256778482381e-01,6.308333333333333570e-01,6.894117647058823906e-01,3.516000000000000000e+03,1.514000000000000000e+03,8.860000000000000000e+02,1.584000000000000000e+03
8.116400688296759869e-01,6.270833333333333259e-01,6.852941176470588314e-01,3.495000000000000000e+03,1.505000000000000000e+03,8.950000000000000000e+02,1.605000000000000000e+03
8.179202423503193486e-01,6.229166666666666741e-01,6.813725490196078649e-01,3.475000000000000000e+03,1.495000000000000000e+03,9.050000000000000000e+02,1.625000000000000000e+03
8.322192686763270064e-01,6.175000000000000488e-01,6.780392156862744546e-01,3.458000000000000000e+03,1.482000000000000000e+03,9.180000000000000000e+02,1.642000000000000000e+03
8.453225298227751150e-01,6.125000000000000444e-01,6.743137254901960809e-01,3.439000000000000000e+03,1.470000000000000000e+03,9.300000000000000000e+02,1.661000000000000000e+03
8.616784627494763482e-01,6.087500000000000133e-01,6.701960784313725217e-01,3.418000000000000000e+03,1.461000000000000000e+03,9.390000000000000000e+02,1.682000000000000000e+03
8.762324926129541058e-01,6.033333333333333881e-01,6.668627450980392224e-01,3.401000000000000000e+03,1.448000000000000000e+03,9.520000000000000000e+02,1.699000000000000000e+03
8.887528901666776893e-01,6.004166666666667096e-01,6.623529411764705888e-01,3.378000000000000000e+03,1.441000000000000000e+03,9.590000000000000000e+02,1.722000000000000000e+03
8.997593124965294065e-01,5.958333333333333259e-01,6.586274509803921040e-01,3.359000000000000000e+03,1.430000000000000000e+03,9.700000000000000000e+02,1.741000000000000000e+03
9.094636572416903153e-01,5.912500000000000533e-01,6.549019607843137303e-01,3.340000000000000000e+03,1.419000000000000000e+03,9.810000000000000000e+02,1.760000000000000000e+03
9.196381712467474046e-01,5.870833333333332904e-01,6.509803921568627638e-01,3.320000000000000000e+03,1.409000000000000000e+03,9.910000000000000000e+02,1.780000000000000000e+03
9.363000638047719315e-01,5.825000000000000178e-01,6.472549019607842791e-01,3.301000000000000000e+03,1.398000000000000000e+03,1.002000000000000000e+03,1.799000000000000000e+03
9.503445634669955844e-01,5.779166666666666341e-01,6.435294117647059053e-01,3.282000000000000000e+03,1.387000000000000000e+03,1.013000000000000000e+03,1.818000000000000000e+03
9.604806010469203459e-01,5.733333333333333615e-01,6.396078431372549389e-01,3.262000000000000000e+03,1.376000000000000000e+03,1.024000000000000000e+03,1.838000000000000000e+03
9.753437887474695200e-01,5.695833333333333304e-01,6.354901960784313797e-01,3.241000000000000000e+03,1.367000000000000000e+03,1.033000000000000000e+03,1.859000000000000000e+03
9.910067126684417582e-01,5.649999999999999467e-01,6.317647058823528949e-01,3.222000000000000000e+03,1.356000000000000000e+03,1.044000000000000000e+03,1.878000000000000000e+03
1.002446754920044203e+00,5.595833333333333215e-01,6.284313725490195957e-01,3.205000000000000000e+03,1.343000000000000000e+03,1.057000000000000000e+03,1.895000000000000000e+03
1.017609236914645221e+00,5.545833333333333171e-01,6.249019607843137036e-01,3.187000000000000000e+03,1.331000000000000000e+03,1.069000000000000000e+03,1.913000000000000000e+03
1.035877990861359343e+00,5.500000000000000444e-01,6.211764705882353299e-01,3.168000000000000000e+03,1.320000000000000000e+03,1.080000000000000000e+03,1.932000000000000000e+03
1.049028432906037533e+00,5.445833333333333082e-01,6.178431372549019196e-01,3.151000000000000000e+03,1.307000000000000000e+03,1.093000000000000000e+03,1.949000000000000000e+03
1.063450493626348470e+00,5.395833333333333037e-01,6.143137254901960276e-01,3.133000000000000000e+03,1.295000000000000000e+03,1.105000000000000000e+03,1.967000000000000000e+03
1.070773879833498254e+00,5.341666666666666785e-01,6.109803921568627283e-01,3.116000000000000000e+03,1.282000000000000000e+03,1.118000000000000000e+03,1.984000000000000000e+03
1.085372769259619563e+00,5.283333333333333215e-01,6.076470588235294290e-01,3.099000000000000000e+03,1.268000000000000000e+03,1.132000000000000000e+03,2.001000000000000000e+03
1.095993722530182790e+00,5.237500000000000488e-01,6.039215686274509443e-01,3.080000000000000000e+03,1.257000000000000000e+03,1.143000000000000000e+03,2.020000000000000000e+03
1.110503860690289724e+00,5.187500000000000444e-01,6.003921568627450522e-01,3.062000000000000000e+03,1.245000000000000000e+03,1.155000000000000000e+03,2.038000000000000000e+03
1.122022453892852267e+00,5.133333333333333082e-01,5.970588235294117530e-01,3.045000000000000000e+03,1.232000000000000000e+03,1.168000000000000000e+03,2.055000000000000000e+03
1.132151159481272540e+00,5.091666666666666563e-01,5.931372549019607865e-01,3.025000000000000000e+03,1.222000000000000000e+03,1.178000000000000000e+03,2.075000000000000000e+03
1.147272130487644537e+00,5.037500000000000311e-01,5.898039215686274872e-01,3.008000000000000000e+03,1.209000000000000000e+03,1.191000000000000000e+03,2.092000000000000000e+03
1.160343932146717716e+00,4.987500000000000266e-01,5.862745098039215952e-01,2.990000000000000000e+03,1.197000000000000000e+03,1.203000000000000000e+03,2.110000000000000000e+03
1.175009184406252016e+00,4.941666666666666430e-01,5.825490196078431104e-01,2.971000000000000000e+03,1.186000000000000000e+03,1.214000000000000000e+03,2.129000000000000000e+03
1.188853908382845992e+00,4.904166666666666674e-01,5.782352941176470695e-01,2.949000000000000000e+03,1.177000000000000000e+03,1.223000000000000000e+03,2.151000000000000000e+03
1.204493522640333492e+00,4.862500000000000155e-01,5.743137254901961031e-01,2.929000000000000000e+03,1.167000000000000000e+03,1.233000000000000000e+03,2.171000000000000000e+03
1.217211378694740054e+00,4.816666666666666874e-01,5.705882352941176183e-01,2.910000000000000000e+03,1.156000000000000000e+03,1.244000000000000000e+03,2.190000000000000000e+03
1.235408519519476167e+00,4.762500000000000067e-01,5.672549019607843190e-01,2.893000000000000000e+03,1.143000000000000000e+03,1.257000000000000000e+03,2.207000000000000000e+03
1.249105562032005290e+00,4.708333333333333259e-01,5.639215686274510198e-01,2.876000000000000000e+03,1.130000000000000000e+03,1.270000000000000000e+03,2.224000000000000000e+03
1.265030588218944985e+00,4.654166666666666452e-01,5.605882352941176094e-01,2.859000000000000000e+03,1.117000000000000000e+03,1.283000000000000000e+03,2.241000000000000000e+03
1.278522651751007544e+00,4.616666666666666696e-01,5.564705882352941613e-01,2.838000000000000000e+03,1.108000000000000000e+03,1.292000000000000000e+03,2.262000000000000000e+03
1.290353777999754259e+00,4.562499999999999889e-01,5.531372549019607510e-01,2.821000000000000000e+03,1.095000000000000000e+03,1.305000000000000000e+03,2.279000000000000000e+03
1.310936249919787411e+00,4.533333333333333104e-01,5.486274509803921173e-01,2.798000000000000000e+03,1.088000000000000000e+03,1.312000000000000000e+03,2.302000000000000000e+03
1.321725635758320472e+00,4.504166666666666874e-01,5.439215686274510020e-01,2.774000000000000000e+03,1.081000000000000000e+03,1.319000000000000000e+03,2.326000000000000000e+03
1.336150497628760148e+00,4.462499999999999800e-01,5.400000000000000355e-01,2.754000000000000000e+03,1.071000000000000000e+03,1.329000000000000000e+03,2.346000000000000000e+03
1.351384402909288962e+00,4.412499999999999756e-01,5.364705882352941435e-01,2.736000000000000000e+03,1.059000000000000000e+03,1.341000000000000000e+03,2.364000000000000000e+03
1.373501084206291800e+00,4.379166666666666763e-01,5.321568627450979916e-01,2.714000000000000000e+03,1.051000000000000000e+03,1.349000000000000000e+03,2.386000000000000000e+03
1.390096860860606132e+00,4.337500000000000244e-01,5.282352941176470251e-01,2.694000000000000000e+03,1.041000000000000000e+03,1.359000000000000000e+03,2.406000000000000000e+03
1.403083247262363331e+00,4.304166666666666696e-01,5.239215686274509842e-01,2.672000000000000000e+03,1.033000000000000000e+03,1.367000000000000000e+03,2.428000000000000000e+03
1.417415293354257200e+00,4.241666666666666918e-01,5.209803921568627594e-01,2.657000000000000000e+03,1.018000000000000000e+03,1.382000000000000000e+03,2.443000000000000000e+03
1.430716586048305983e+00,4.216666666666666896e-01,5.162745098039215330e-01,2.633000000000000000e+03,1.012000000000000000e+03,1.388000000000000000e+03,2.467000000000000000e+03
1.445794786808676013e+00,4.195833333333333082e-01,5.111764705882353432e-01,2.607000000000000000e+03,1.007000000000000000e+03,1.393000000000000000e+03,2.493000000000000000e+03
1.457763743637237042e+00,4.174999999999999822e-01,5.062745098039215241e-01,2.582000000000000000e+03,1.002000000000000000e+03,1.398000000000000000e+03,2.518000000000000000e+03
1.479699049335703842e+00,4.145833333333333592e-01,5.017647058823528905e-01,2.559000000000000000e+03,9.950000000000000000e+02,1.405000000000000000e+03,2.541000000000000000e+03
1.501342406118325368e+00,4.104166666666666519e-01,4.978431372549019795e-01,2.539000000000000000e+03,9.850000000000000000e+02,1.415000000000000000e+03,2.561000000000000000e+03
1.519509918995728626e+00,4.062500000000000000e-01,4.939215686274509576e-01,2.519000000000000000e+03,9.750000000000000000e+02,1.425000000000000000e+03,2.581000000000000000e+03
1.540971017470244231e+00,4.041666666666666741e-01,4.890196078431372495e-01,2.494000000000000000e+03,9.700000000000000000e+02,1.430000000000000000e+03,2.606000000000000000e+03
1.565058848225431065e+00,4.000000000000000222e-01,4.850980392156862830e-01,2.474000000000000000e+03,9.600000000000000000e+02,1.440000000000000000e+03,2.626000000000000000e+03
1.583465739927309990e+00,3.975000000000000200e-01,4.803921568627451122e-01,2.450000000000000000e+03,9.540000000000000000e+02,1.446000000000000000e+03,2.650000000000000000e+03
1.605162146522354227e+00,3.916666666666666630e-01,4.772549019607842946e-01,2.434000000000000000e+03,9.400000000000000000e+02,1.460000000000000000e+03,2.666000000000000000e+03
