y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
6,24,0.29600000000000004,0.2520593352353215,0.2000000000114286,0.29600000000000004,0.09435253181174286,-0.30564746818254285
6,28,0.48800000000000004,0.26300762086103424,0.14285714286938778,0.48800000000000004,0.2775939033111726,-0.1509775252541335
7,4,0.46399999999999997,0.25891024715403943,0.8428571428593878,0.46399999999999997,0.2568718022767684,0.17830037370646235
7,10,0.29600000000000004,0.2520458477008611,0.7571428571463267,0.29600000000000004,0.09436332183931118,-0.027065249587525486
7,13,0.32000000000000006,0.531165945408977,0.4371428571451837,0.32000000000000006,-0.10493275632718158,-0.38636132775458976
7,19,0.3680000000000001,0.2541615560533512,0.2857142857244898,0.3680000000000001,0.1646707551573191,-0.19247210198043596
7,20,0.4160000000000001,0.2546906305631551,0.27142857143897964,0.4160000000000001,0.212247495549476,-0.15203821873103415
7,21,0.44000000000000006,0.25475006086618546,0.2571428571534694,0.44000000000000006,0.23619995130705168,-0.13522862011621362
7,22,0.44,0.25435468606414896,0.2428571428679592,0.44,0.23651625114868083,-0.14205517741733956
7,23,0.392,0.25354740157764794,0.22857142858244903,0.392,0.18916207873788166,-0.19655220697089382
7,25,0.32000000000000006,0.25243837063129804,0.2000000000114286,0.32000000000000006,0.11804930349496162,-0.2819506964993241
7,27,0.4160000000000001,0.2573444027168596,0.1714285714404082,0.4160000000000001,0.2101244778265124,-0.2041612364532835
8,4,0.392,0.25568215018434254,0.8285714285738776,0.392,0.18745427985252597,0.10173999413946475
8,13,0.3440000000000001,0.530927410070631,0.4285714285738776,0.3440000000000001,-0.08074192805650476,-0.366456213769566
8,18,0.44000000000000006,0.25975288027695376,0.3142857142955102,0.44000000000000006,0.23219769577843705,-0.11065944707380784
8,25,0.36800000000000005,0.2532768207591753,0.21428571429693882,0.36800000000000005,0.1653785433926598,-0.2274785994588708
8,27,0.4640000000000001,0.26096012557200954,0.18571428572591842,0.4640000000000001,0.25523189954239245,-0.15191095759464834
9,3,0.41600000000000004,0.25846691809878103,0.8285714285738776,0.41600000000000004,0.2092264655209752,0.12351217980791399
9,5,0.272,0.2515048532146455,0.8000000000028571,0.272,0.07079611742828362,-0.02920388257028783
9,13,0.392,0.5312089316017315,0.4200000000025714,0.392,-0.032967145281385224,-0.3229671452800995
9,16,0.56,0.5391423834988541,0.20571428571991837,0.56,0.12868609320091673,-0.2684567639391241
9,17,0.536,0.4040898521705332,0.26857142857902044,0.536,0.2127281182635734,-0.1529861674469164
9,24,0.41600000000000004,0.2547959896800826,0.2428571428679592,0.41600000000000004,0.21216320825593393,-0.16640822031008645
9,26,0.44000000000000006,0.25644717837374187,0.21428571429693882,0.44000000000000006,0.23484225730100655,-0.15801488555052406
10,1,0.4999999999999999,0.2605087145001541,0.8357142857166325,0.4999999999999999,0.29159302839987655,0.20945017125819282
10,2,0.46399999999999997,0.2586492746304263,0.8285714285738776,0.46399999999999997,0.25708058029565894,0.17136629458259772
10,4,0.29600000000000004,0.25198806642413984,0.8000000000028571,0.29600000000000004,0.09440954686068814,-0.005590453137883311
10,13,0.44,0.5319454857142857,0.4114285714312653,0.44,0.014443611428571423,-0.2798421028557959
10,24,0.44000000000000006,0.25539851170707517,0.2571428571534694,0.44000000000000006,0.2356811906343399,-0.1357473807889254
10,26,0.4640000000000001,0.25888746408802754,0.22857142858244903,0.4640000000000001,0.256890028729578,-0.12882425697919747
11,1,0.43999999999999995,0.2572723687444605,0.8214285714311224,0.43999999999999995,0.2341821050044315,0.1448963907199927
11,13,0.536,0.5335307428571429,0.4028571428599592,0.536,0.10917540571428574,-0.18939602285573465
11,23,0.488,0.25967353043035396,0.2857142857244898,0.488,0.28026117565571684,-0.07688168148203822
11,26,0.48800000000000004,0.26260076852559205,0.2428571428679592,0.48800000000000004,0.2779193851795264,-0.10065204338649397
12,1,0.41,0.25649656469556825,0.8071428571456123,0.41,0.20480274824354536,0.1083741768163515
12,9,0.3680000000000001,0.25427760280659795,0.7000000000042857,0.3680000000000001,0.16457791775472175,0.014577917756864622
12,10,0.4160000000000001,0.2563766984587719,0.6857142857187755,0.4160000000000001,0.21089864123298255,0.05375578409237028
12,11,0.4640000000000001,0.259415830111433,0.6714285714332654,0.4640000000000001,0.2564673359108537,0.09218162162748639
12,12,0.536,0.39863705709192765,0.5314285714324082,0.536,0.2170903543264579,-0.017195359957338008
12,23,0.4640000000000001,0.2591721018589254,0.30000000001000005,0.4640000000000001,0.2566623185128597,-0.09333768148214028
12,25,0.44000000000000006,0.2583058161446397,0.27142857143897964,0.44000000000000006,0.2333553470842883,-0.13093036719622186
13,2,0.392,0.2561216554930688,0.785714285717347,0.392,0.18710267560554494,0.07995981846421846
13,8,0.4160000000000001,0.25800899454938203,0.7000000000042857,0.4160000000000001,0.20959280436049446,0.059592804362637336
13,23,0.44000000000000006,0.2571839460147695,0.3142857142955102,0.44000000000000006,0.23425284318818443,-0.10860429966406046
13,25,0.4640000000000001,0.26155581614463963,0.2857142857244898,0.4640000000000001,0.2547553470842884,-0.10238751005346669
14,2,0.44,0.2579496269725698,0.7714285714318369,0.44,0.23364029842194417,0.1193545841378626
14,7,0.44000000000000006,0.2590018823196098,0.7000000000042857,0.44000000000000006,0.2327984941443122,0.08279849414645507
14,22,0.46399999999999997,0.2615558161446397,0.34285714286653063,0.46399999999999997,0.2547553470842882,-0.0738160814824465
